time,x_pos,y_pos,x_vel,y_vel,x_accel,y_accel,direction
0.0,70.0,39.37,0.0,0.0,0.0,0.0,0.0
250.0,75.15,97.33,0.0,0.0,0.0,0.0,0.0
375.0,75.92,96.67,0.0,0.0,0.0,0.0,0.0
500.0,75.93,95.96,0.0,0.0,0.0,0.0,0.0
625.0,76.26,95.62,0.0,0.0,0.0,0.0,0.0
750.0,77.09,94.44,9.45,-81.13,0.5,0.5,172.66
875.0,77.23,93.95,3.32,5.4,0.5,0.5,31.6
1000.0,78.17,93.42,3.6,5.2,0.5,0.5,34.69
1125.0,78.45,92.86,4.03,4.96,0.5,0.5,39.07
1250.0,79.28,92.33,4.84,5.26,0.5,0.5,42.62
1375.0,79.09,91.71,3.83,4.37,0.5,0.5,36.19
1500.0,79.85,90.95,4.82,4.8,0.5,0.5,41.09
1625.0,80.09,90.02,3.71,5.42,0.5,0.5,29.56
1750.0,80.96,89.34,4.65,5.63,0.5,0.5,35.49
1875.0,81.19,89.62,3.68,5.25,0.5,0.5,35.13
2000.0,82.09,88.44,4.79,6.14,0.5,0.5,42.56
2125.0,82.21,87.98,3.77,5.68,0.5,0.5,38.36
2250.0,82.35,87.33,3.62,5.23,0.5,0.5,40.02
2375.0,82.98,86.88,3.23,4.85,0.5,0.5,39.4
2500.0,83.78,86.12,4.14,5.6,0.5,0.5,36.51
2625.0,84.09,85.71,3.2,4.37,0.5,0.5,36.19
2750.0,84.75,84.4,4.07,5.72,0.5,0.5,35.4
2875.0,85.09,83.95,4.37,5.4,0.5,0.5,39.0
3000.0,85.09,83.66,3.38,5.14,0.5,0.5,33.34
3125.0,85.77,82.86,3.17,5.21,0.5,0.5,31.35
3250.0,86.18,82.56,3.35,5.03,0.5,0.5,33.68
3375.0,86.92,81.88,3.46,4.02,0.5,0.5,40.71
3500.0,87.23,81.53,3.42,3.87,0.5,0.5,41.47
3625.0,87.92,80.88,4.52,4.45,0.5,0.5,45.39
3750.0,88.4,80.3,4.21,4.09,0.5,0.5,45.79
3875.0,88.29,79.69,3.71,4.59,0.5,0.5,36.31
4000.0,89.1,79.07,3.82,4.5,0.5,0.5,37.77
4125.0,89.47,78.09,3.92,5.51,0.5,0.5,33.0
4250.0,90.08,77.64,3.79,5.17,0.5,0.5,33.71
4375.0,90.73,76.84,4.06,5.53,0.5,0.5,33.95
4500.0,91.15,76.61,4.57,4.93,0.5,0.5,42.83
4625.0,91.1,75.83,3.36,5.17,0.5,0.5,31.78
4750.0,91.82,75.19,3.92,4.63,0.5,0.5,39.13
4875.0,92.12,74.78,3.42,4.57,0.5,0.5,35.45
5000.0,92.91,74.15,3.65,4.3,0.5,0.5,39.07
5125.0,93.26,73.62,3.52,4.78,0.5,0.5,35.14
5250.0,94.04,73.05,4.7,4.45,0.5,0.5,46.59
5375.0,93.94,72.69,3.72,4.01,0.5,0.5,40.18
5500.0,94.44,71.54,4.06,5.18,0.5,0.5,35.7
5625.0,94.98,70.88,3.64,5.23,0.5,0.5,32.23
5750.0,95.8,70.17,4.41,5.51,0.5,0.5,36.47
5875.0,95.98,69.88,3.43,5.07,0.5,0.5,31.38
6000.0,96.8,69.17,4.58,5.61,0.5,0.5,39.2
6125.0,96.75,68.59,3.85,4.72,0.5,0.5,37.99
6250.0,97.21,68.32,3.74,4.09,0.5,0.5,41.15
6375.0,97.82,67.58,3.38,4.14,0.5,0.5,37.83
6500.0,98.19,66.62,3.7,5.2,0.5,0.5,34.17
6625.0,98.87,65.96,3.46,5.13,0.5,0.5,32.71
6750.0,99.22,65.63,3.94,4.73,0.5,0.5,39.81
6875.0,99.98,64.88,4.42,5.5,0.5,0.5,38.76
7000.0,100.09,64.44,3.63,5.02,0.5,0.5,35.86
7125.0,100.29,63.89,3.36,4.36,0.5,0.5,37.61
7250.0,101.01,63.44,3.43,4.04,0.5,0.5,40.36
7375.0,101.64,62.6,3.87,4.84,0.5,0.5,38.61
7500.0,102.19,62.31,3.53,4.11,0.5,0.5,40.67
7625.0,102.09,61.71,3.53,4.37,0.5,0.5,36.19
7750.0,102.85,60.34,4.41,5.67,0.5,0.5,35.73
7875.0,103.09,59.95,3.64,5.57,0.5,0.5,30.77
8000.0,103.89,59.33,3.92,5.23,0.5,0.5,34.51
8125.0,104.16,58.94,3.48,5.38,0.5,0.5,30.37
8250.0,105.01,58.44,4.68,5.23,0.5,0.5,41.8
8375.0,105.16,57.94,3.7,3.84,0.5,0.5,43.92
8500.0,105.35,57.33,3.62,4.19,0.5,0.5,40.81
8625.0,106.0,56.76,3.37,4.1,0.5,0.5,39.38
8750.0,106.6,56.26,3.89,4.28,0.5,0.5,42.29
8875.0,107.0,55.04,3.17,5.43,0.5,0.5,30.31
9000.0,107.77,54.32,4.17,5.79,0.5,0.5,35.76
9125.0,108.05,53.96,4.31,5.39,0.5,0.5,38.67
9250.0,108.09,53.66,3.35,4.95,0.5,0.5,34.13
