displacement,velocity,d_theta,class
545.17,4.36,1.28,0
45,0.2,0.7,0
22,0.2,0.5,0
1.41,0.04,0.04,1
56,0.7,0.4,0
549.06,4.39,1.3,0
327.11,2.62,1.93,0
283.82,2.27,0.87,0
545.73,4.37,0.86,0
77,0.2,0.5,0
233.31,1.87,1.29,0
4.8,0.14,0.01,1
46,0.2,0.6,0
34,1.2,0.7,0
2.86,0.09,0.21,1
2.1,0.06,0.05,1
74,0.2,0.6,0
20,0.9,0.7,0
2.73,0.08,0.03,1
2.2,0.07,0.01,1
525.95,4.21,1.31,0
18,0.8,0.3,0
3.99,0.12,9.78,1
36.8,0.29,0.17,0
27.06,0.22,0,0
2.07,0.06,0.05,1
5.8,0.17,0.31,1
20,0.3,0.2,0
16.56,0.13,0,0
93.37,0.75,0.52,0
94.56,0.76,0.87,0
610.01,4.88,1.48,0
259.12,2.07,0.89,0
16,0.7,0.2,0
92.28,0.74,1.51,0
2.65,0.08,0.02,1
52,0.3,0.5,0
65.7,0.53,0.04,0
6.93,0.21,0.31,1
79,0.8,0.7,0
439.92,3.52,1.55,0
451.55,3.61,1.68,0
2.17,0.07,0,1
473.26,3.79,1.16,0
2.35,0.07,0.06,1
2.77,0.08,0.16,1
46,0.3,0.2,0
5.71,0.17,0.13,1
491.37,3.93,1,0
408.81,3.27,1.42,0
3.36,0.1,0.46,1
11.96,0.36,0.16,1
73,0.1,0.3,0
16.77,0.13,0.01,0
453.85,3.63,2,0
25,0.4,0.6,0
4.04,0.12,0.22,1
49,1.1,0.2,0
4.74,0.14,0.39,1
577.74,4.62,1.54,0
1.21,0.04,0.06,1
2.52,0.08,0.01,1
82.36,0.66,0.02,0
65.92,0.53,0.99,0
3.95,0.12,0.15,1
3.65,0.11,0.02,1
480.66,3.85,0.86,0
328.84,2.63,1.73,0
290.44,2.32,1.23,0
166.51,1.33,0.29,0
2.65,0.08,0.21,1
1.27,0.04,0.02,1
28.14,0.23,0.09,0
578.18,4.63,1.67,0
556.95,4.46,1.66,0
679.09,5.43,1.27,0
49,0.6,0.5,0
1.64,0.05,0.04,1
6.88,0.21,0.16,1
4.09,0.12,0.15,1
470.75,3.77,1.12,0
38,0.2,0.4,0
33,0.6,0.3,0
39,0.2,0.1,0
422.39,3.38,1.53,0
80,0.2,0.3,0
1.73,0.05,0.1,1
45,1,0.3,0
465.22,3.72,1.16,0
5.36,0.16,0.23,1
27,1.1,0.6,0
527.34,4.22,1.69,0
11,0.3,0.5,0
2.4,0.07,0.07,1
2.66,0.08,0.05,1
56,0.9,0.1,0
75.2,0.6,0.05,0
397.67,3.18,0.54,0
1.94,0.06,0.03,1
2.84,0.09,0.01,1
3.94,0.12,0.35,1
2.03,0.06,0.19,1
285.06,2.28,1.35,0
4.49,0.13,0.34,1
2.55,0.08,0.05,1
46.34,0.37,0.12,0
2.68,0.08,0.07,1
62.81,0.5,0.09,0
6.17,0.19,0.09,1
2.63,0.08,0.01,1
47,1,0.1,0
3.24,0.1,0.19,1
4.68,0.14,0.16,1
4.37,0.13,0.03,1
480.66,3.85,1.06,0
75,0.5,0.3,0
2.06,0.06,10.71,1
57,0.2,0.5,0
37,0.6,0.1,0
1.82,0.05,0.02,1
6.08,0.18,0.18,1
5.31,0.16,0.04,1
95.06,0.76,0.19,0
1.24,0.04,0.02,1
35,1.1,0.3,0
31,0.3,0.5,0
352.96,2.82,1.94,0
52,0.8,0.4,0
38,1.1,0.5,0
3.48,0.1,0.13,1
3.58,0.11,0.03,1
30,0.4,0.3,0
422.43,3.38,1.09,0
3.95,0.12,0.06,1
3.13,0.09,0,1
4.25,0.13,0.02,1
5.57,0.17,0.09,1
58,0.3,0.6,0
341.42,2.73,1.49,0
18.8,0.15,0.7,0
2.61,0.08,0.01,1
3.81,0.11,0.48,1
49,0.1,0.6,0
2.95,0.09,0.03,1
68,0.8,0.4,0
211.38,1.69,0.29,0
2.51,0.08,0.18,1
2.1,0.06,0.05,1
62,0.3,0.6,0
35,1.1,0.2,0
74.76,0.6,0.02,0
4.52,0.14,0.18,1
5.59,0.17,0.16,1
1.41,0.04,0.06,1
4,0.12,0.12,1
327.28,1.31,0,0
110.08,0.88,0.25,0
22,0.6,0.5,0
3.8,0.11,0.12,1
55,0.6,0.5,0
403.47,3.23,1.78,0
4.05,0.12,0.28,1
47.79,0.38,0,0
2.58,0.08,0.02,1
2.02,0.06,0.16,1
46,0.9,0.7,0
50.85,0.41,0.1,0
419.03,3.35,1.49,0
4.57,0.14,0.11,1
146.9,1.18,0.86,0
399.12,3.19,1.92,0
45,0.6,0.1,0
3,0.09,0.01,1
360.68,2.89,0.06,0
57.11,0.46,0.06,0
54,0.7,0.6,0
121.59,0.97,0.03,0
1.27,0.04,0.03,1
2.16,0.07,0.05,1
75.99,0.61,0.04,0
1.58,0.05,0.03,1
44.07,0.35,0.41,0
3.75,0.11,0.2,1
51,0.6,0.4,0
7.33,0.22,0.05,1
82.36,0.66,0.24,0
127.63,1.02,0.05,0
424.37,3.39,1.23,0
19,0.8,0.3,0
524.44,4.2,1.46,0
272.34,2.18,0.37,0
359.61,2.88,0.67,0
2.43,0.07,10.56,1
81.81,0.66,0.02,0
37,0.3,0.5,0
356,2.85,1.47,0
92.6,0.74,0.04,0
2.59,0.08,0.04,1
3.36,0.1,0.23,1
56,0.6,0.1,0
25,1,0.6,0
2.29,0.07,0.3,1
50.1,0.4,1.06,0
51,0.7,0.3,0
2.74,0.08,0.07,1
2.25,0.07,0.02,1
1.65,0.05,0.02,1
60,0.6,0.5,0
48.55,0.39,0.02,0
5.33,0.16,0.04,1
40,0.1,0.3,0
396.13,3.17,1.27,0
2.52,0.08,0.04,1
2.56,0.08,0.05,1
4.76,0.14,0.26,1
7.23,0.22,0.18,1
47,0.2,0.4,0
79.8,0.64,0.11,0
41,1.2,0.3,0
32,1,0.1,0
63,0.5,0.6,0
2.96,0.09,0.08,1
4.81,0.14,0.29,1
17,0.5,0.2,0
57.51,0.46,2.27,0
68,0.54,0,0
2.75,0.08,0.11,1
62,0.7,0.6,0
30,0.8,0.2,0
4.09,0.12,0.19,1
22,1.2,0.2,0
624.62,5,1.59,0
52,1,0.6,0
31,0.6,0.6,0
146.13,1.17,0.21,0
58,0.4,0.2,0
56.2,0.45,0.21,0
2.59,0.08,0.01,1
60,1,0.1,0
27.19,0.22,0.08,0
5.83,0.18,0.16,1
4.05,0.12,0.04,1
77.44,0.62,0.12,0
91.76,0.73,0.79,0
351.81,2.81,1.51,0
2.62,0.08,0.09,1
53,0.3,0.3,0
66,0.5,0.3,0
38,0.8,0.5,0
22,1,0.1,0
30,0.9,0.3,0
67.65,0.54,0.37,0
66,0.9,0.4,0
297.59,2.38,1.67,0
61,0.4,0.5,0
3.04,0.09,10.58,1
11.88,0.1,0,0
3.54,0.11,0.25,1
71,1.2,0.3,0
2.23,0.07,0.11,1
47.79,0.38,0,0
41.31,0.33,0,0
553,4.42,1.6,0
198.21,1.59,0.02,0
50,0.4,0.6,0
337.46,2.7,2.05,0
17.53,0.14,0,0
155.02,1.24,0.14,0
50,1.2,0.7,0
2.71,0.08,0.02,1
4.49,0.14,0.12,1
2.68,0.08,0.07,1
30,0.7,0.1,0
2.15,0.07,0.04,1
2.74,0.08,0.11,1
35.14,0.28,0,0
31.02,0.25,0.15,0
446.8,3.57,1.34,0
58,1.1,0.4,0
59,0.47,0.78,0
445.07,3.56,1.76,0
472.3,3.78,1.09,0
41.21,0.33,0,0
477.58,3.82,1.29,0
24,0.2,0.2,0
4.89,0.15,0.28,1
3.06,0.09,0.02,1
25,1.1,0.4,0
2.82,0.09,0.19,1
19,0.9,0.3,0
41,0.3,0.3,0
8.17,0.25,0.34,1
26.95,0.22,0.15,0
11.3,0.09,0.28,0
495.87,3.97,1.15,0
2.72,0.08,0.01,1
488.96,3.91,1.59,0
413.34,3.31,1.3,0
2.94,0.09,0.09,1
348.34,2.79,1.45,0
484.64,3.88,0.93,0
33,0.7,0.3,0
441.93,3.54,1.63,0
70.62,0.56,0.82,0
25,0.6,0.2,0
360.48,2.88,1.53,0
66,0.8,0.4,0
11,1.2,0.6,0
39,1.1,0.4,0
439.2,3.51,1.51,0
2.85,0.09,0,1
2.36,0.07,0.06,1
71,0.5,0.5,0
422.65,3.38,1.91,0
82.35,0.66,0.04,0
50.83,0.41,0.25,0
4.05,0.12,0.23,1
45,0.5,0.4,0
538.95,4.31,1.04,0
33,0.6,0.4,0
5.57,0.17,0.2,1
510.25,4.08,1.36,0
43,0.5,0.3,0
4.14,0.12,0.02,1
598.24,4.79,1.06,0
31,0.8,0.4,0
69,1.1,0.7,0
53,0.3,0.1,0
2.29,0.07,0.06,1
2.96,0.09,0.09,1
11,0.2,0.6,0
78,0.7,0.6,0
1.78,0.05,0.04,1
57,0.5,0.5,0
38.63,0.31,0.17,0
15,0.4,0.2,0
44,0.3,0.6,0
48.31,0.39,0.11,0
7.1,0.21,0.1,1
57,0.9,0.7,0
26,0.6,0.2,0
124.04,0.99,0.66,0
1.65,0.05,0.06,1
78.21,0.63,0.05,0
2.3,0.07,0.13,1
21,0.6,0.2,0
428.47,3.43,2.43,0
47.33,0.38,0.04,0
23,0.2,0.4,0
2.46,0.07,0.01,1
3.55,0.11,0.1,1
2.84,0.09,0.12,1
46,0.1,0.4,0
193.81,1.55,2.01,0
4.02,0.12,0.41,1
1.66,0.05,0.03,1
42,0.3,0.3,0
404.55,3.24,1.08,0
3.8,0.11,0.01,1
228.39,1.83,0.92,0
1.44,0.04,0.03,1
26,0.8,0.5,0
3.85,0.12,0.4,1
29,0.8,0.6,0
2.11,0.06,0.09,1
4.47,0.13,0.1,1
49,0.5,0.5,0
77,0.9,0.4,0
4.34,0.13,0.12,1
3.59,0.11,0.04,1
35.45,0.28,0.5,0
2.54,0.08,0.09,1
35,0.7,0.4,0
18,1.2,0.5,0
2.43,0.07,0.09,1
2.5,0.08,0.04,1
35,0.9,0.3,0
0,0,0,1
17.75,0.14,1.63,0
335.8,2.69,2.04,0
73,1.2,0.6,0
1.89,0.06,0.04,1
43,0.3,0.5,0
2.94,0.09,0.02,1
0,0,0.26,1
2.98,0.09,0.13,1
58.82,0.47,0,0
56,0.7,0.3,0
92.66,0.74,1.59,0
18,1.1,0.6,0
59,0.8,0.3,0
56,1,0.3,0
2.4,0.07,0.06,1
0,0,0,1
4.78,0.14,0.09,1
11,0.2,0.4,0
1.7,0.05,0.01,1
64.17,0.51,0.32,0
39,1.2,0.5,0
1.71,0.05,0.01,1
28.34,0.23,0,0
1.29,0.04,0.03,1
1.53,0.05,0.04,1
2.97,0.09,0.5,1
0,0,0,1
2.75,0.08,0.05,1
45,0.5,0.3,0
77.42,0.62,0.71,0
253.42,2.03,2.4,0
58,0.3,0.7,0
52,1.1,0.2,0
15.15,0.12,0.15,0
5.26,0.16,0.14,1
1.81,0.05,0.13,1
17,0.9,0.4,0
3.71,0.11,0.08,1
17.95,0.14,1.67,0
35,1.1,0.5,0
309.46,2.48,1.5,0
87.78,0.7,0.06,0
489.07,3.91,1.8,0
66,0.2,0.4,0
70.84,0.57,0.1,0
354.88,2.84,1.63,0
4.16,0.13,0.01,1
25.81,0.21,1.69,0
23.86,0.19,1.68,0
1.52,0.05,0.07,1
43,1,0.5,0
2.62,0.08,0.07,1
41,1.2,0.4,0
17.42,0.14,0.04,0
2.92,0.09,0.05,1
3.61,0.11,0.16,1
2.27,0.07,0.09,1
35,0.6,0.7,0
53,0.3,0.6,0
49.48,0.4,1.25,0
74,1.2,0.7,0
43,0.6,0.5,0
23,0.5,0.4,0
461.03,3.69,1.61,0
48,0.6,0.5,0
6.5,0.2,0.23,1
2.7,0.08,0.13,1
4.15,0.12,0.06,1
58,0.6,0.2,0
38,0.8,0.2,0
331.33,2.65,1.54,0
42,0.7,0.1,0
17,0.2,0.4,0
3.27,0.1,0.12,1
23,0.3,0.1,0
15,0.3,0.3,0
1.68,0.05,0.06,1
2.33,0.07,0.1,1
46.89,0.38,0.17,0
69.72,0.56,0.34,0
6.45,0.19,0.38,1
55,0.7,0.3,0
43,0.2,0.5,0
457.77,3.66,1.4,0
56,0.7,0.4,0
451.56,3.61,2.04,0
3.04,0.09,0.01,1
38,1,0.3,0
6.19,0.19,0.15,1
18.09,0.14,0.09,0
33,0.7,0.5,0
84.13,0.67,0.35,0
1.99,0.06,0.08,1
45,0.3,0.6,0
11.86,0.09,0.02,0
1.64,0.05,0.01,1
44,0.4,0.4,0
34.53,0.28,1.48,0
5.94,0.18,0.27,1
52,1.2,0.5,0
467.67,3.74,1.32,0
2.21,0.07,0.1,1
2.63,0.08,0.03,1
3.38,0.1,0.03,1
42,0.7,0.7,0
3.66,0.11,0.02,1
312.02,2.5,1.05,0
86.33,0.69,0.59,0
58,0.8,0.3,0
17.68,0.14,0.39,0
56.21,0.45,0.18,0
57,0.7,0.4,0
54,0.2,0.6,0
2.42,0.07,0.08,1
3.03,0.09,0.22,1
3.06,0.09,0.21,1
30,0.9,0.6,0
5.14,0.15,0.19,1
499.89,4,1.91,0
2.4,0.07,0.06,1
104.99,0.84,0.2,0
1.35,0.04,0.02,1
2.17,0.07,0.02,1
44,0.3,0.2,0
2.66,0.08,0.05,1
154.65,1.24,0.17,0
12.87,0.1,0,0
2.18,0.07,0.02,1
1.97,0.06,0.08,1
2.52,0.08,0.01,1
39,0.2,0.6,0
60,0.9,0.6,0
1.72,0.05,0,1
86.81,0.69,0.07,0
29,1.1,0.6,0
19,0.3,0.5,0
18,0.6,0.4,0
462.91,3.7,1.48,0
30.37,0.24,0.45,0
2.17,0.07,0.05,1
353.28,2.83,1.1,0
7.49,0.23,0.01,1
425.43,3.4,1.16,0
6.1,0.18,0.33,1
4.18,0.13,0.04,1
2.71,0.08,0.07,1
4.34,0.13,0.2,1
24.63,0.2,0,0
559.62,4.48,1.37,0
294.13,2.35,1.38,0
98.83,0.79,0,0
80,0.5,0.7,0
35.69,0.29,0,0
2.37,0.07,0.03,1
19,0.8,0.6,0
159.92,1.28,0.21,0
364.71,2.92,1.97,0
20,0.9,0.4,0
493.15,3.95,1.66,0
547,4.38,1.3,0
